Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
KM822128,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,,,1969
KM822129,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2011
KM822130,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2011
KM822131,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2011
KM822132,Mammarenavirus lassaense,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",Broad Institute,USA,2014-10-14,,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Mastomys natalensis,,2011
KJ944259,Mammarenavirus lassaense,"Omilabu,S.A., James,A.B., Orenolu,M.R.","College of Medicine-University of Lagos, Department of Biochemistry/Virology Unit- Central Research Lab",Nigeria,2014-09-22,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2013-02
KJ944260,Mammarenavirus lassaense,"Omilabu,S.A., James,A.B., Orenolu,M.R.","College of Medicine-University of Lagos, Department of Biochemistry/Virology Unit- Central Research Lab",Nigeria,2014-09-22,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2013-03
KJ944261,Mammarenavirus lassaense,"Omilabu,S.A., James,A.B., Orenolu,M.R.","College of Medicine-University of Lagos, Department of Biochemistry/Virology Unit- Central Research Lab",Nigeria,2014-09-22,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2013-08
JC241991,Lassa mammarenavirus,"LINDEMANN,D., HO,Y., SCHNABEL,V.",,,2014-02-04,,Mammarenavirus lassaense,partial,,,,,
KF425246,Mammarenavirus lassaense,"Bonney,J.H.K., Nyarko,E., Ohene,S.-A., Amankwa,J., Ametepi,R., Nimo Paintsil,S., Sarkodie,B., Agbenohevi,P., Adjabeng,M., Kyei,N., Ampofo,W.","Noguchi Memorial Institute for Medical Research, Virology Department",Ghana,2013-12-31,,Mammarenavirus lassaense,partial,Ghana,Ghana,Mastomys sp.,blood,2013-05-26
KF478760,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,complete,Mali,Mali,Mastomys natalensis,,2012-03-03
KF478761,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,complete,Mali,Mali,Mastomys natalensis,,2012-03
KF478762,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,complete,Mali,Mali,Mastomys natalensis,,2009-06
KF478763,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,partial,Mali,Mali,Mastomys natalensis,,2012-03-03
KF478764,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,partial,Mali,Mali,Mastomys natalensis,,2012-03
KF478765,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,complete,Mali,Mali,Mastomys natalensis,,2009-06
KF478766,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,complete,Mali,Mali,Mastomys natalensis,,2012-03
KF478767,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,partial,Mali,Mali,Mastomys natalensis,,2012-03-03
KF478768,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,partial,Mali,Mali,Mastomys natalensis,,2012-03
KF478769,Mammarenavirus lassaense,"Safronetz,D., Sogoba,N., Lopez,J.E., Maiga,O., Dahlstrom,E., Zivcec,M., Feldmann,F., Haddock,E., Fischer,R.J., Anderson,J.M., Munster,V.J., Branco,L., Garry,R., Porcella,S.F., Schwan,T.G., Feldmann,H.","NIH, NIAID - Rocky Mountain Labs",USA,2013-12-24,,Mammarenavirus lassaense,partial,Mali,Mali,Mastomys natalensis,,2012-03-03
JX845167,Mammarenavirus lassaense,"Kronmann,K.C., Nimo-Paintsil,S., Guirguis,F., Kronmann,L.C., Bonney,K., Obiri-Danso,K., Ampofo,W., Fichet-Calvet,E., Nimo Paintsil,S.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2013-11-14,JIR76,Mammarenavirus lassaense,partial,Ghana: Jirandogo,Ghana,Mus baoulei,blood,2011-05-28
JX845169,Mammarenavirus lassaense,"Kronmann,K.C., Nimo-Paintsil,S., Guirguis,F., Kronmann,L.C., Bonney,K., Obiri-Danso,K., Ampofo,W., Fichet-Calvet,E., Nimo Paintsil,S.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2013-11-14,JIR76,Mammarenavirus lassaense,partial,Ghana: Jirandogo,Ghana,Mus baoulei,blood,2011-05-28
JX845171,Mammarenavirus lassaense,"Kronmann,K.C., Nimo-Paintsil,S., Guirguis,F., Kronmann,L.C., Bonney,K., Obiri-Danso,K., Ampofo,W., Fichet-Calvet,E., Nimo Paintsil,S.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2013-11-14,JIR76,Mammarenavirus lassaense,partial,Ghana: Jirandogo,Ghana,Mus baoulei,blood,2011-05-28
JB048532,Lassa mammarenavirus,"BRANCO,L.M., GARRY,R.F.",,,2013-04-04,,Mammarenavirus lassaense,partial,,,,,
JB048540,Lassa mammarenavirus,"BRANCO,L.M., GARRY,R.F.",,,2013-04-04,,Mammarenavirus lassaense,partial,,,,,
JB048543,Lassa mammarenavirus,"BRANCO,L.M., GARRY,R.F.",,,2013-04-04,,Mammarenavirus lassaense,partial,,,,,
JQ511991,Mammarenavirus lassaense,"Ehichioya,D.U., Asogun,D.A., Ehimuan,J., Okokhere,P.O., Pahlmann,M., Olschlager,S., Becker-Ziaja,B., Gunther,S., Omilabu,S.A.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-05-07,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2008
JQ511992,Mammarenavirus lassaense,"Ehichioya,D.U., Asogun,D.A., Ehimuan,J., Okokhere,P.O., Pahlmann,M., Olschlager,S., Becker-Ziaja,B., Gunther,S., Omilabu,S.A.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-05-07,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2008
JN651366,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2008
JN651367,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2008
JN651368,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2008
JN651369,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651370,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651371,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651372,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2009
JN651373,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651374,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Nasarawa State,Nigeria,Homo sapiens,blood,2009
JN651375,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651376,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo,Nigeria,Homo sapiens,blood,2009
JN651377,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651378,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo,Nigeria,Homo sapiens,blood,2009
JN651379,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651380,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651381,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651382,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651383,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651384,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651385,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651386,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria: Edo State,Nigeria,Homo sapiens,blood,2009
JN651387,Mammarenavirus lassaense,"Asogun,D.A., Adomeh,D.I., Ehimuan,J., Odia,I., Hass,M., Gabriel,M., Olschlager,S., Becker-Ziaja,B., Folarin,O., Phelan,E., Ehiane,P.E., Ifeh,V.E., Uyigue,E.A., Oladapo,Y.T., Muoebonam,E.B., Osunde,O., Dongo,A., Okokhere,P.O., Okogbenin,S.A., Momoh,M., Alikah,S.O., Akhuemokhan,O.C., Imomeh,P., Odike,M.A., Gire,S., Andersen,K., Sabeti,P.C., Happi,C.T., Akpede,G.O., Gunther,S., Asogun,D.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2012-02-05,,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2009
